baseline,seed,total_return,mean_reward,sharpe,sortino,max_drawdown,calmar,turnover,transaction_cost,inventory_drift_mean,post_shift_mean_pnl,post_shift_cum_pnl_120,promotion_count,promotion_delay,UpperHFPower,LowerLFDrift,FocusScore,promotion_threshold,promotion_ratio,promotion_mid_gain,promotion_adapt_gain
freq_hrl,42,0.24702183506637243,0.00030673851489149124,15.550863362164334,27.5849811790679,0.009862734263169637,25.04597898260576,7.305420749681067,0.0438325244980864,2.8570034553017476e-05,0.0006037066687380216,0.07244480024856259,212,319.0,0.001855733867882029,1.8158390400532776,0.9044017578867743,0.00035,0.2,0.5,0.25
no_promotion,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.00035,0.2,0.5,0.25
freq_hrl,123,0.2073166814303209,0.00026181105733116735,12.86522835422073,29.898969361570344,0.02826837207608457,7.333874086287185,8.43296483544065,0.0505977890126439,1.9646885970597157e-05,0.0004646095376855639,0.055753144522267664,319,146.0,0.002802268068372285,1.6326016080031032,0.8940418722661031,0.00035,0.2,0.5,0.25
no_promotion,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.00035,0.2,0.5,0.25
freq_hrl,456,0.2698750506313452,0.0003319765787191177,16.921582377040966,27.589108824630294,0.005547187103036588,48.650792846632626,6.632570515960169,0.039795423095761014,2.4158018266223818e-05,0.0005538082985447463,0.06645699582536956,301,101.0,0.0012025390357495917,1.8497512446309932,0.7719437155418236,0.00035,0.2,0.5,0.25
no_promotion,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.00035,0.2,0.5,0.25
freq_hrl,789,0.2571793822353732,0.00031801965001062785,17.6742312821904,42.95088693912804,0.005255494625331036,48.935333507105206,5.573749628015097,0.03344249776809058,1.1628382626123156e-05,0.0004962384357616222,0.05954861229139466,66,-1.0,0.0006866737018822885,1.7782105650452964,0.7905226888731952,0.00035,0.2,0.5,0.25
no_promotion,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.00035,0.2,0.5,0.25
freq_hrl,2026,0.2343880493023427,0.0002925901061967729,14.881722533385256,25.143790020897917,0.010306373338711206,22.74204917669444,7.608426259219566,0.0456505575553174,2.8794162189313164e-05,0.00040177265318473433,0.04821271838216812,259,21.0,0.0019607232357380312,1.80138990693372,0.9017915140668018,0.00035,0.2,0.5,0.25
no_promotion,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.00035,0.2,0.5,0.25
freq_hrl,42,0.2446606410032166,0.00030410507895477326,15.276008686055532,26.892493515183205,0.010975902687788253,22.29070792285951,7.516438487490994,0.04509863092494597,3.0036717783234273e-05,0.0006066596261383818,0.07279915513660581,190,319.0,0.002440125576624977,1.732926090814084,0.8716556974728402,0.00035,0.2,0.5,0.5
