check,claim,status,metric,treatment,control,direction,n_common,delta_mean,delta_ci95_low,delta_ci95_high,improvement_mean,improvement_ci95_low,improvement_ci95_high,noninferiority_margin,win_rate,sign_p_value
order_book_depth_adaptive_wavelet_vs_ema_total_return,order-book stress encoder paired check,not_supported,total_return,adaptive_wavelet,ema,increase,25,-7.44580738905043e-07,-1.5535900484043851e-06,-4.397484172158361e-08,-7.44580738905043e-07,-1.5789857411933061e-06,-5.7314236163508866e-08,,0.4,0.42435622215270996
order_book_depth_adaptive_wavelet_vs_ema_max_drawdown,order-book stress encoder paired check,supported,max_drawdown,adaptive_wavelet,ema,decrease,25,-4.277279525264355e-06,-7.241862510522168e-06,-1.9901332532069607e-06,4.277279525264355e-06,2.0269340724909936e-06,7.046933468918935e-06,,0.68,0.10775214433670044
order_book_depth_adaptive_wavelet_vs_ema_turnover,order-book stress encoder paired check,not_supported,turnover,adaptive_wavelet,ema,decrease,25,0.0010838248478154478,0.0006373151796118565,0.0015873172508191866,-0.0010838248478154478,-0.0015902012317298192,-0.0006299298239302116,,0.0,5.960464477539063e-08
order_book_depth_neural_state_space_vs_ema_sharpe,order-book stress encoder paired check,not_supported,sharpe,neural_state_space,ema,increase,25,-1.1349102066066425,-2.4474914452192738,0.02539214762732812,-1.1349102066066425,-2.4001700927544465,-0.03637164580064378,,0.48,1.0
order_book_depth_neural_state_space_vs_ema_total_return,order-book stress encoder paired check,not_supported,total_return,neural_state_space,ema,increase,25,-5.583518520042574e-06,-6.814422120841157e-06,-4.364354495823954e-06,-5.583518520042574e-06,-6.795479151679662e-06,-4.33149817801759e-06,,0.04,1.5497207641601562e-06
order_book_depth_neural_state_space_vs_ema_max_drawdown,order-book stress encoder paired check,supported,max_drawdown,neural_state_space,ema,decrease,25,-8.470580298887143e-06,-1.3459352121003131e-05,-4.374168224703275e-06,8.470580298887143e-06,4.317284647503028e-06,1.3295705428913336e-05,,0.84,0.0009105205535888672
order_book_depth_neural_state_space_vs_ema_turnover,order-book stress encoder paired check,not_supported,turnover,neural_state_space,ema,decrease,25,0.0054965999894867335,0.004965937005920457,0.0061037932395830155,-0.0054965999894867335,-0.006114976626746197,-0.004950197415951948,,0.0,5.960464477539063e-08
order_book_depth_state_space_vs_ema_sharpe,order-book stress encoder paired check,not_supported,sharpe,state_space,ema,increase,25,-71.33842528846323,-128.2308406124595,-16.80176481484385,-71.33842528846323,-131.22938012267238,-14.546632867655937,,0.4,0.42435622215270996
order_book_depth_state_space_vs_ema_total_return,order-book stress encoder paired check,not_supported,total_return,state_space,ema,increase,25,-0.0002886989675939633,-0.00044990370350151543,-0.0001281495551923203,-0.0002886989675939633,-0.00044920658139190853,-0.00012001188217582146,,0.28,0.043285250663757324
order_book_depth_state_space_vs_ema_max_drawdown,order-book stress encoder paired check,not_supported,max_drawdown,state_space,ema,decrease,25,0.0002608887052152431,0.00010024657792325653,0.0004397101286272089,-0.0002608887052152431,-0.00043556282910428356,-9.697207061517627e-05,,0.28,0.043285250663757324
