seed,variant,status,ep_reward,avg_wait_min,headway_cv,score,upper_plan_decisions,upper_plan_reuse_ratio,upper_plan_target_mean,upper_plan_target_std,terminal_launch_shift_mean,terminal_launch_shift_std,freq_promotion_strength,shared_ppo_lower_samples,shared_ppo_gate_evaluations,shared_ppo_gate_replans,shared_ppo_gate_value_mean,shared_ppo_wait_replan_count,shared_ppo_wait_replan_pressure_mean,shared_ppo_wait_replan_shift_pressure_mean,shared_ppo_wait_replan_gap_ratio_mean,shared_ppo_wait_replan_same_hold_mean,shared_ppo_wait_replan_same_wait_mean,shared_ppo_wait_replan_shift_mean_s,shared_ppo_wait_replan_shift_abs_mean_s,shared_ppo_wait_replan_actor_base_used_mean,shared_ppo_wait_replan_base_delta_abs_mean_s,shared_ppo_wait_replan_final_delta_abs_mean_s,shared_ppo_loss
1991,native_promotion_replan,supported_native_episode_loop,-3086.597,3.84,0.4777,-4.7954,88.0,0.6641221374045801,346.66306421643657,8.548749975553877,-43.14503816793893,6.198524987563088,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36771.98923339844
2001,native_promotion_replan,supported_native_episode_loop,-12909.451,18.866,0.4315,-19.729,170.0,0.3511450381679389,342.8661271182332,9.727125107181124,-41.60687022900763,7.783940120036883,1.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.71469726563
2011,native_promotion_replan,supported_native_episode_loop,-2565.287,5.34,0.486,-6.311999999999999,133.0,0.49236641221374045,346.66804712275973,12.851145874363231,-44.01526717557252,4.7646675633968325,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.36939353942871
2021,native_promotion_replan,supported_native_episode_loop,-18848.255,7.839,0.5031,-8.8452,89.0,0.6603053435114504,329.91244267689365,5.292572421579037,-44.400763358778626,4.621935686876145,0.5536536868781838,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.083865356445
2031,native_promotion_replan,supported_native_episode_loop,-14327.616,9.33,0.4757,-10.2814,136.0,0.48091603053435117,336.9337759281843,12.275631071274296,-43.00763358778626,6.163790079208673,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166117.53525390624
2041,native_promotion_replan,supported_native_episode_loop,-10151.937,8.261,0.7074,-9.675799999999999,120.0,0.5419847328244275,341.02194778256444,9.66369522905705,-44.404580152671755,4.53447965479599,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91879.48156738281
2051,native_promotion_replan,supported_native_episode_loop,-17760.3,5.304,0.55,-6.404,164.0,0.37404580152671757,339.2309242485541,7.0384179481767895,-44.38931297709924,4.582696494596529,0.6923076923076924,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2343.6470123291015
2061,native_promotion_replan,supported_native_episode_loop,-18156.645,5.582,0.6221,-6.8262,133.0,0.49236641221374045,343.07210242239796,5.556624182949769,-43.961832061068705,4.724315177405148,1.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6891.557733154297
2071,native_promotion_replan,supported_native_episode_loop,-18179.95,43.774,0.4646,-44.7032,111.0,0.5763358778625954,332.41173391052484,9.742673828406275,-44.538167938931295,4.138406191259817,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54945.73125
2081,native_promotion_replan,supported_native_episode_loop,-2877.788,4.966,0.5567,-6.0794,103.0,0.6068702290076335,335.7240094392961,8.549586751151534,-44.50381679389313,4.254990865342186,1.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3347.063848876953
2091,native_promotion_replan,supported_native_episode_loop,-3807.75,4.18,0.4084,-4.9967999999999995,104.0,0.6030534351145038,338.33670271549363,11.386717753510743,-44.44274809160305,4.51064949427533,0.0,4972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82151.97797851563
2101,native_promotion_replan,supported_native_episode_loop,-2822.207,4.474,0.4613,-5.3966,113.0,0.5687022900763359,343.4931377622917,12.736849700642564,-7.896946564885496,40.410027171731095,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14670.716473388671
