route_id,grouping_type,direction_id,direction_name,stop_sequence,stop_id
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,31,MTA_504184
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,32,MTA_504186
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,33,MTA_504188
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,34,MTA_504189
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,35,MTA_503645
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,36,MTA_503649
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,37,MTA_503652
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,38,MTA_503654
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,39,MTA_503656
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,40,MTA_504191
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,41,MTA_504979
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,42,MTA_503665
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,43,MTA_503668
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,44,MTA_553416
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,45,MTA_553417
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,46,MTA_504559
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,47,MTA_503789
MTA NYCT_Q24,direction,0,JAMAICA PARSONS-HILLSIDE,48,MTA_982490
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,0,MTA_203540
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,1,MTA_200176
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,2,MTA_200177
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,3,MTA_905003
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,4,MTA_200293
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,5,MTA_203922
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,6,MTA_200570
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,7,MTA_203709
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,8,MTA_200572
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,9,MTA_200573
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,10,MTA_200574
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,11,MTA_200575
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,12,MTA_200576
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,13,MTA_203092
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,14,MTA_200621
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,15,MTA_200620
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,16,MTA_905213
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,17,MTA_200622
MTA NYCT_S66,direction,1,PORT RICHMOND via GRYMES HILL,18,MTA_200623
