stop_id,code,name,lat,lon,direction,wheelchair_boarding
MTA_100219,100219,WESTCHESTER AV/WHITLOCK AV,40.827495,-73.886273,NE,UNKNOWN
MTA_100221,100221,WESTCHESTER AV/ELDER AV,40.828514,-73.879317,E,UNKNOWN
MTA_100223,100223,WESTCHESTER AV/MANOR AV,40.828936,-73.876559,E,UNKNOWN
MTA_100224,100224,WESTCHESTER AV/MORRISON AV,40.829418,-73.874811,E,UNKNOWN
MTA_100227,100227,WESTCHESTER AV/SAINT LAWRENCE AV,40.831479,-73.867565,E,UNKNOWN
MTA_100230,100230,WESTCHESTER AV/WHITE PLAINS RD,40.83278,-73.862939,E,UNKNOWN
MTA_100232,100232,WESTCHESTER AV/PUGSLEY AV,40.833501,-73.857922,E,UNKNOWN
MTA_100233,100233,WESTCHESTER AV/OLMSTEAD AV,40.833915,-73.854443,E,UNKNOWN
MTA_100234,100234,WESTCHESTER AV/CASTLE HILL AV,40.834155,-73.851827,E,UNKNOWN
MTA_100235,100235,WESTCHESTER AV/ZEREGA AV,40.836705,-73.846717,NE,UNKNOWN
MTA_100236,100236,WESTCHESTER AV/SAINT PETERS AV,40.83843,-73.844688,NE,UNKNOWN
MTA_100239,100239,WESTCHESTER AV/SAINT PETERS AV,40.838694,-73.844549,SW,UNKNOWN
MTA_100240,100240,WESTCHESTER AV/ZEREGA AV,40.836939,-73.846611,SW,UNKNOWN
MTA_100242,100242,WESTCHESTER AV/CASTLE HILL AV,40.834285,-73.851469,W,UNKNOWN
MTA_100243,100243,WESTCHESTER AV/OLMSTEAD AV,40.834011,-73.854454,W,UNKNOWN
MTA_100244,100244,WESTCHESTER AV/PUGSLEY AV,40.833634,-73.857595,W,UNKNOWN
MTA_100246,100246,WESTCHESTER AV/WHITE PLAINS RD,40.833124,-73.862536,W,UNKNOWN
MTA_100249,100249,WESTCHESTER AV/SAINT LAWRENCE AV,40.83174,-73.867069,W,UNKNOWN
MTA_100253,100253,WESTCHESTER AV/MORRISON AV,40.829621,-73.874493,W,UNKNOWN
MTA_100254,100254,WESTCHESTER AV/MANOR AV,40.829099,-73.876293,W,UNKNOWN
MTA_100256,100256,WESTCHESTER AV/ELDER AV,40.828652,-73.879059,W,UNKNOWN
MTA_100259,100259,WESTCHESTER AV/HOME ST,40.827447,-73.886598,SW,UNKNOWN
MTA_100260,100260,WESTCHESTER AV/HOE AV,40.825369,-73.890606,SW,UNKNOWN
MTA_100261,100261,WESTCHESTER AV/SIMPSON ST,40.82431,-73.892769,SW,UNKNOWN
MTA_100264,100264,WESTCHESTER AV/E 163 ST,40.821181,-73.898798,SW,UNKNOWN
MTA_100265,100265,WESTCHESTER AV/PROSPECT AV,40.819923,-73.901226,SW,UNKNOWN
MTA_100267,100267,WESTCHESTER AV/TINTON AV,40.818205,-73.904801,SW,UNKNOWN
MTA_100268,100268,WESTCHESTER AV/JACKSON AV,40.816511,-73.907907,SW,UNKNOWN
MTA_100270,100270,WESTCHESTER AV/SAINT ANN'S AV,40.816075,-73.91173,W,UNKNOWN
MTA_101372,101372,E 149 ST/BROOK AV,40.815166,-73.915301,W,UNKNOWN
MTA_103127,103127,WESTCHESTER AV/BRYANT AV,40.826389,-73.888671,SW,UNKNOWN
MTA_103392,103392,WESTCHESTER AV/HUGH GRANT CIR,40.832922,-73.861742,E,UNKNOWN
MTA_103453,103453,WESTCHESTER AV/HAVEMEYER AV,40.834998,-73.848855,NE,UNKNOWN
MTA_103543,103543,WESTCHESTER AV/DORIS ST,40.835231,-73.848662,SW,UNKNOWN
MTA_103606,103606,WESTCHESTER AV/INTERVALE AV,40.822265,-73.896646,SW,UNKNOWN
MTA_103613,103613,HUGH GRANT CIR/WESTCHESTER AV,40.832774,-73.860428,NE,UNKNOWN
MTA_103650,103650,WESTCHESTER AV/SOUTHERN BLVD,40.82478,-73.891573,NE,UNKNOWN
MTA_103678,103678,LANE AV/BENSON AV,40.840796,-73.84329,N,UNKNOWN
MTA_103723,103723,E 149 ST/SAINT ANN'S AV,40.814424,-73.913289,W,UNKNOWN
MTA_104068,104068,HUGH J GRANT CIR/CROSS BRONX SERVICE RD,40.833592,-73.861187,W,UNKNOWN
MTA_104312,104312,WESTCHESTER AV/BRYANT AV,40.82626,-73.888662,NE,UNKNOWN
MTA_104313,104313,WESTCHESTER AV/COLGATE AV,40.8283,-73.881774,E,UNKNOWN
MTA_104315,104315,WESTCHESTER AV/NOBLE AV,40.830706,-73.870182,E,UNKNOWN
MTA_104316,104316,WESTCHESTER AV/NOBLE AV,40.8309,-73.869859,W,UNKNOWN
MTA_104318,104318,WESTCHESTER AV/COLGATE AV,40.828428,-73.881734,W,UNKNOWN
MTA_802065,802065,TREMONT AV/LANE AV,40.840268,-73.843224,N,UNKNOWN
MTA_902105,902105,E 149 ST/BERGEN AV,40.815669,-73.916638,W,UNKNOWN
MTA_902253,902253,E 149 ST/BERGEN AV,40.815424,-73.916065,W,UNKNOWN
MTA_300418,300418,CROPSEY AV/BAY 49 ST,40.586092,-73.987889,NW,UNKNOWN
MTA_300420,300420,CROPSEY AV/BAY 44 ST,40.58941,-73.990563,NW,UNKNOWN
MTA_300422,300422,CROPSEY AV/25 AV,40.592279,-73.992878,NW,UNKNOWN
MTA_300424,300424,CROPSEY AV/23 AV,40.59596,-73.99691,NW,UNKNOWN
MTA_300495,300495,CROPSEY AV/BAY PKWY,40.596918,-73.998484,SE,UNKNOWN
MTA_300496,300496,CROPSEY AV/23 AV,40.595889,-73.997256,SE,UNKNOWN
MTA_300499,300499,CROPSEY AV/25 AV,40.59198,-73.993018,SE,UNKNOWN
MTA_300501,300501,CROPSEY AV/BAY 44 ST,40.588727,-73.99039,SE,UNKNOWN
MTA_300503,300503,CROPSEY AV/BAY 49 ST,40.58599,-73.988187,SE,UNKNOWN
MTA_300790,300790,CROPSEY AV/15 AV,40.606253,-74.014512,SE,UNKNOWN
MTA_300791,300791,CROPSEY AV/16 AV,40.60502,-74.012147,SE,UNKNOWN
MTA_300914,300914,CROPSEY AV/16 AV,40.605445,-74.012677,NW,UNKNOWN
